"id","name_vi","name_en","category","province_en","status","area_ha","geometry_type","part_count","source_url"
"osm_way_897187625","Khu công nghiệp Việt Hàn",NA,"industrial_park","Bac Ninh","operational",52.8595211535145,"polygon",2,"https://www.openstreetmap.org/way/897187625"
"osm_way_642274405","Khu công nghiệp VSIP Bắc Ninh","Vietnam-Singapore Industrial Park (VSIP Bac Ninh)","industrial_park","Bac Ninh","operational",435.588286003951,"polygon",1,"https://www.openstreetmap.org/way/642274405"
"osm_way_875632648","Khu công nghiệp Xử lý chất thải môi trường Đồng Sài - Phù Lãng",NA,"industrial_park","Bac Ninh","operational",60.5989822185334,"polygon",1,"https://www.openstreetmap.org/way/875632648"
"osm_way_598146230","Khu công nghiệp Yên Phong - Giai đoạn 1","Yen Phong Industrial Zone - Phase 1","industrial_park","Bac Ninh","operational",302.067350436563,"polygon",1,"https://www.openstreetmap.org/way/598146230"
"osm_way_1257183941","Khu Công Nghiệp Yên Phong II","VSIP Yen Phong II Industrial Park","industrial_park","Bac Ninh","operational",326.953970514197,"polygon",2,"https://www.openstreetmap.org/way/1257183941"
"osm_way_1257183934","Khu Công Nghiệp Yên Phong II C","Yen Phong II C Industrial Park","industrial_park","Bac Ninh","operational",174.275543401836,"polygon",1,"https://www.openstreetmap.org/way/1257183934"
"osm_way_805410975","Khu công nghiệp Yên Phong mở rộng",NA,"industrial_park","Bac Ninh","operational",284.097241496795,"polygon",1,"https://www.openstreetmap.org/way/805410975"
"osm_way_1056385992","Cụm công nghiệp Đồng Lạng",NA,"industrial_cluster","Phu Tho","operational",35.2044791001255,"polygon",1,"https://www.openstreetmap.org/way/1056385992"
"osm_way_1194204001","Cụm công nghiệp Đồng Sóc",NA,"industrial_cluster","Phu Tho","operational",89.4540310675323,"polygon",1,"https://www.openstreetmap.org/way/1194204001"
"osm_way_1515828995","Cụm công nghiệp Làng nghề Thanh Lãng",NA,"industrial_cluster","Phu Tho","operational",7.55694482110126,"polygon",1,"https://www.openstreetmap.org/way/1515828995"
"osm_way_818615783","Cụm công nghiệp Thổ Tang",NA,"industrial_cluster","Phu Tho","operational",17.2316546503472,"polygon",1,"https://www.openstreetmap.org/way/818615783"
"osm_way_772939822","Khu công nghiệp Bá Thiện",NA,"industrial_park","Phu Tho","operational",322.201060212367,"polygon",1,"https://www.openstreetmap.org/way/772939822"
"osm_way_596051687","Khu công nghiệp Bá Thiện II",NA,"industrial_park","Phu Tho","operational",191.449549933163,"polygon",1,"https://www.openstreetmap.org/way/596051687"
