"source_record_id","name_vi","category","province_code","source","source_url","retrieved_on","location_text","reported_longitude","reported_latitude","key","province_source_url","province_match_method","map_id","match_method","coordinate_available","legal_status","review_status","candidate_map_ids","candidate_match_method","latitude","longitude","coordinate_source_url","reported_coordinate_check"
"investvietnam-47","Khu kinh tế Nghi Sơn","unclassified","38","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/khu-kinh-te-nghi-son.html","2026-09-10","Khu kinh tế Nghi Sơn (KKT Nghi Sơn) có diện tích tự nhiên 18.611,8 ha nằm phía Nam tỉnh Thanh Hoá, trên trục giao lưu Bắc - Nam của đất nước, cách Thủ đô Hà Nội 200 km về phía Nam, là cầu nối giữa vùng Bắc Bộ với Trung Bộ, Tây Bắc và Nam Bộ, với thị trường Nam Lào và Đông Bắc Thái Lan. Cảng Nghi Sơn có tiềm năng phát triển thành một trong những cảng biển lớn nhất cả nước với khả năng tiếp nhận tàu có trọng tải lên tới 50.000DWT, năng lực xếp dỡ lên đến hàng trăm triệu tấn/năm",105.752533,19.399068,"khu kinh te nghi son","https://investvietnam.gov.vn/vi/kcn.pd/khu-kinh-te-nghi-son.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"province_consistent_unverified"
"investvietnam-52","KCN Cửa Lò","industrial_park","40","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/nghe-an---kcn-cua-lo.html","2026-09-10","Nằm trên quốc lộ 46 nối nối từ cảng Cửa Lò với thành phố Vinh và đường Sào Nam đi bãi tắm Cửa Lò.",,,"cua lo","https://investvietnam.gov.vn/vi/kcn.pd/nghe-an---kcn-cua-lo.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-54","KCN Hoàng Mai","industrial_park","40","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/kcn-hoang-mai.html","2026-09-10","Nằm ven quốc lộ 1A",,,"hoang mai","https://kcn-kkt.com/kcn/kcn-hoang-mai","unique_discovery_name_province_unverified",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-61","KCN Khu kinh tế Nhơn Hội","industrial_park","52","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/binh-dinh---kcn-khu-kinh-te-nhon-hoi.html","2026-09-10",,,,"khu kinh te nhon hoi","https://investvietnam.gov.vn/vi/kcn.pd/binh-dinh---kcn-khu-kinh-te-nhon-hoi.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-63","KCN Long Mỹ","industrial_park","52","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/binh-dinh---kcn-long-my.html","2026-09-10","Gần quốc lộ 1A",,,"long my","https://investvietnam.gov.vn/vi/kcn.pd/binh-dinh---kcn-long-my.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-64","KCN Hòa Hội","industrial_park","52","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/binh-dinh---kcn-hoa-hoi.html","2026-09-10",,,,"hoa hoi","https://investvietnam.gov.vn/vi/kcn.pd/binh-dinh---kcn-hoa-hoi.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-65","KCN Phú Tài","industrial_park","52","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/binh-dinh---kcn-phu-tai.html","2026-09-10","Trên tuyến quốc lộ 1A",,,"phu tai","https://investvietnam.gov.vn/vi/kcn.pd/binh-dinh---kcn-phu-tai.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-68","KCN Hàm Kiện II","industrial_park",,"Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/kcn-ham-kien-ii.html","2026-09-10","KCN Hàm Kiệm II nằm trên trục lộ giao thông Bắc – Nam, cách QL1A 600 mét ; cách đường dẫn lên đường Cao tốc TP.Hồ Chí Minh – Long Thành – Dầu Giây – Phan Thiết 2 km. Địa hình bằng phẳng.",,,"ham kien 2",,"unknown",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-70","KCN Phan Thiết 1","industrial_park",,"Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/kcn-phan-thiet-1.html","2026-09-10","Nằm trên quốc lộ 1A",,,"phan thiet 1",,"unknown",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-80","KCN Đông Thăng Bình","industrial_park","48","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/quang-nam---kcn-dong-thang-binh.html","2026-09-10","Cách quốc lộ 1A 2km",,,"dong thang binh","https://investvietnam.gov.vn/vi/kcn.pd/quang-nam---kcn-dong-thang-binh.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
