"park_id","source_id","name_vi","source_url","longitude","latitude","coordinate_available","coordinate_source","coordinate_source_url","coordinate_match_method","coordinate_confidence","old_iso","old_province_code","old_province_name_vi","old_province_name_en","province_code","province_name_vi","province_name_en","source","source_page","retrieved_on"
"investvietnam-231","231","Khu Công nghiệp Việt Hương 2","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-viet-huong-2.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-651","651","Khu công nghiệp Việt Kiều","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-viet-kieu.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-233","233","Khu công nghiệp Việt Nam Singapore (VSIP) - VSIP BÌNH DƯƠNG","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-viet-nam-singapore-vsip---vsip-binh-duong.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-225","225","Khu công nghiệp Việt Nam Singapore Vietnam Singapore Industrial Park","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-viet-nam-singapore-vietnam-singapore-industrial-park.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-681","681","Khu công nghiệp Vĩnh Thạnh","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-vinh-thanh.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-827","827","KHU CÔNG NGHIỆP VSIP LẠNG SƠN","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-vsip-lang-son.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-588","588","Khu công nghiệp VSIP Nghệ An","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-vsip-nghe-an.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-740","740","KHU CÔNG NGHIỆP VSIP QUẢNG NGÃI","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-vsip-quang-ngai.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-586","586","Khu công nghiệp WHA IZ 1- Nghệ An","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-wha-iz-1--nghe-an.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-536","536","KHU CÔNG NGHIỆP XUÂN LỘC","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-xuan-loc-1.html",107.4131249,10.9078656,TRUE,"OpenStreetMap","https://www.openstreetmap.org/way/924383400","unique_normalized_name_exact","high","VN-39","75","Đồng Nai","Dong Nai","75","Đồng Nai","Dong Nai","Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-725","725","Khu công nghiệp Xuân Tô","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-xuan-to.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-828","828","KHU CÔNG NGHIỆP YÊN BÌNH","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-yen-binh.html",105.8954204,21.4334198,TRUE,"OpenStreetMap","https://www.openstreetmap.org/way/482837619","unique_normalized_name_exact","high","VN-69","19","Thái Nguyên","Thai Nguyen","19","Thái Nguyên","Thai Nguyen","Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-539","539","Khu công nghiệp Yên Phong 2C","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-yen-phong-2c.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-851","851","Khu công nghiệp Yên Quang","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-yen-quang.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-445","445","KHU ĐÔ THỊ CÔNG NGHIỆP DUNG QUẤT","https://investvietnam.gov.vn/vi/kcn.pd/khu-do-thi-cong-nghiep-dung-quat.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-86","86","Khu kinh tế Dung Quất/ DungQuat Ecomic Zone Authority","https://investvietnam.gov.vn/vi/kcn.pd/khu-kinh-te-dung-quat-dungquat-ecomic-zone-authority.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-451","451","KHU KINH TẾ NĂM CĂN","https://investvietnam.gov.vn/vi/kcn.pd/khu-kinh-té-nam-can.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-272","272","Khu kinh tế Vũng Áng","https://investvietnam.gov.vn/vi/kcn.pd/khu-kinh-te-vung-ang.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-218","218","Long Khánh","https://investvietnam.gov.vn/vi/kcn.pd/long-khanh.html",107.2235135,10.9684514,TRUE,"OpenStreetMap","https://www.openstreetmap.org/way/714064293","unique_normalized_name_exact","high","VN-39","75","Đồng Nai","Dong Nai","75","Đồng Nai","Dong Nai","Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-555","555","THÔNG TIN CHUNG VỀ KHU CÔNG NGHIỆP HÒA HỘI","https://investvietnam.gov.vn/vi/kcn.pd/thong-tin-chung-ve-khu-cong-nghiep-hoa-hoi.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-593","593","THÔNG TIN CHUNG VỀ KHU CÔNG NGHIỆP TÂY BẮC HỒ XÁ","https://investvietnam.gov.vn/vi/kcn.pd/thong-tin-chung-ve-khu-cong-nghiep-tay-bac-ho-xa.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-596","596","Thông tin Khu công nghiệp Bình Minh","https://investvietnam.gov.vn/vi/kcn.pd/thong-tin-khu-cong-nghiep-binh-minh.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-497","497","Thông tin về KCN Phước Nam","https://investvietnam.gov.vn/vi/kcn.pd/thong-tin-ve-kcn-phuoc-nam.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-601","601","Tuyến Công Nghiệp Cổ Chiên","https://investvietnam.gov.vn/vi/kcn.pd/tuyen-cong-nghiep-co-chien.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-644","644","VSIP NGHE AN II INDUSTRIAL PARK","https://investvietnam.gov.vn/vi/kcn.pd/vsip-nghe-an-ii-industrial-park-1.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
